Curve	1	2		3		4	
Analyte	CBS	CBS		CBS		CBS	
Ligand	Ch 1	Ch 1		Ch 1		Ch 1	
Conc	0.00E+00		5.00E-05		0.00E+00		0.00E+00
Time1	Data1	Time2	Data2	Time3	Data3	Time4	Data4
-2.6	0	-2.6	0.2839	-2.6	0	-2.6	0
-2.4	0	-2.4	0.3632	-2.4	0	-2.4	0
-2.2	0	-2.2	0.6978	-2.2	0	-2.2	0
-2	0	-2	0.2596	-2	0	-2	0
-1.8	0	-1.8	0.7759	-1.8	0	-1.8	0
-1.6	0	-1.6	0.9756	-1.6	0	-1.6	0
-1.4	0	-1.4	0.7105	-1.4	0	-1.4	0
-1.2	0	-1.2	0.9137	-1.2	0	-1.2	0
-1	0	-1	0.8229	-1	0	-1	0
-0.8	0	-0.8	0.6326	-0.8	0	-0.8	0
-0.6	0	-0.6	0.3519	-0.6	0	-0.6	0
-0.4	0	-0.4	0.5329	-0.4	0	-0.4	0
-0.2	0	-0.2	1.2163	-0.2	0	-0.2	0
0	0	0	1.2588	0	0	0	0
0.2	0	0.2	2.2139	0.2	0	0.2	0
0.4	0	0.4	2.2139	0.4	0	0.4	0
0.6	0	0.6	3.7057	0.6	0	0.6	0
0.8	0	0.8	5.7706	0.8	0	0.8	0
1	0	1	6.4515	1	0	1	0
1.2	0	1.2	7.3762	1.2	0	1.2	0
1.4	0	1.4	7.5682	1.4	0	1.4	0
1.6	0	1.6	8.2986	1.6	0	1.6	0
1.8	0	1.8	8.4166	1.8	0	1.8	0
2	0	2	8.9833	2	0	2	0
2.2	0	2.2	9.2088	2.2	0	2.2	0
2.4	0	2.4	9.5836	2.4	0	2.4	0
2.6	0	2.6	9.7321	2.6	0	2.6	0
2.8	0	2.8	10.1446	2.8	0	2.8	0
3	0	3	10.398	3	0	3	0
3.2	0	3.2	9.9186	3.2	0	3.2	0
3.4	0	3.4	10.4166	3.4	0	3.4	0
3.6	0	3.6	10.4892	3.6	0	3.6	0
3.8	0	3.8	10.4891	3.8	0	3.8	0
4	0	4	10.8205	4	0	4	0
4.2	0	4.2	10.3745	4.2	0	4.2	0
4.4	0	4.4	10.6079	4.4	0	4.4	0
4.6	0	4.6	10.5482	4.6	0	4.6	0
4.8	0	4.8	10.5162	4.8	0	4.8	0
5	0	5	10.5356	5	0	5	0
5.2	0	5.2	10.774	5.2	0	5.2	0
5.4	0	5.4	10.6761	5.4	0	5.4	0
5.6	0	5.6	10.9202	5.6	0	5.6	0
5.8	0	5.8	11.0338	5.8	0	5.8	0
6	0	6	11.0631	6	0	6	0
